index,orig_index,summary,protagonist,protagonist_type,antagonist,central_topic,valence,moral,moral+,moral-
351,533,"A pedlar on his way to Kioto encounters a mysterious child by the roadside who claims to have been waiting for him for over a hundred years. Agreeing to take her along, they eventually reach the Mikado's Palace in Kioto, where the child, named Tamamo, impresses the Mikado with her dance and is taken into his household. Tamamo quickly becomes a master of arts, winning the Mikado's love and causing him to neglect his duties. However, her presence leads to the Mikado's severe illness, suspected to be due to witchcraft. A diviner, Abé Yasu, reveals Tamamo's true form as a nine-tailed fox through a divination and a confrontation, causing her to flee. The Mikado recovers, but Tamamo, now a fox, hides under a stone in Nasu, creating a poisonous and deadly area around it. Years later, a High Priest named Genyo confronts the spirit of Tamamo at the Death Stone, leading to her transformation back into a woman who expresses remorse for her past. Genyo offers her a chance for repentance, and Tamamo vanishes, hoping for Nirvana.",tamamo,"victim, villain",none,transformation and redemption,2,Even those who have caused great harm have the potential for repentance and transformation towards a path of redemption,Repentance and transformation,Deception and neglect of duty
352,534,"A poor peasant named Crab, inspired by a doctor's lifestyle, decides to become a doctor himself, following the doctor's humorous advice to buy an A, B, C book with a rooster on it, sell his oxen for clothes, and put up a sign declaring himself ""Doctor All-Wise."" His reputation as a wise doctor leads a nobleman, who had been robbed of a large sum of money, to seek his help. Crab insists on bringing his wife Grethel along, and during a dinner at the nobleman's house, his offhand comments to Grethel about the dishes being served are misinterpreted by the servants—who are the thieves—as him knowing their guilt. Forced to prove his wisdom, Crab accidentally guesses a covered dish contains a crab, further convincing the nobleman of his abilities. The frightened thieves offer to return the stolen gold and pay Crab for his silence. While pretending to consult his A, B, C book for the gold's location, a servant hiding in an oven reveals himself, believing Crab's comments were directed at him. Crab leads the nobleman to the gold without revealing the thieves, earning rewards and fame, all through a series of misunderstandings and accidental wisdom.",crab,hero,none,accidental wisdom,5,"Sometimes, fortune favors the bold, and success can come from the most unexpected circumstances and actions",Embracing serendipity,Misrepresenting oneself
353,535,"A peasant farmer, oppressed by a wealthy knight who desired to marry his beautiful daughter against her will, decided to move his family away from the village due to the knight's persecution. While moving, they discovered a thin, pale form behind the stove, identifying herself as Poverty, who insisted on moving with them. The farmer cleverly trapped Poverty in a block of wood, leaving her behind and subsequently prospering in a new village. The knight, upon freeing Poverty while inspecting the vacant cottage, found himself haunted by her presence, leading to his financial ruin as he squandered his wealth, driven mad by love and haunted by the decisions of his past.",peasant farmer,"hero, victim",old knight,oppression and resilience,2,"Through cleverness and resilience, one can overcome adversity and escape the clutches of poverty and oppression",Ingenious problem-solving,Oppression
354,536,"In Manila, as the city transitions to evening with the ringing of the Angelus and the lighting of lamps, people flock to the Luneta for nightly concerts. This popular gathering spot, illuminated by hundreds of electric lights and adorned with green lawns and benches, hosts military band performances that attract a diverse crowd, including officers, American ladies, señoritas, and Filipino girls. The concerts, featuring a variety of beautiful selections, conclude with the ""Star-Spangled Banner,"" prompting a respectful silence among the audience. After the music ends, while many head home, others stay to enjoy the beach and the mesmerizing glow of Manila Bay's waters. This phenomenon is attributed to a legendary event where the villages along the Pasig River were saved from the Moro Datto Bungtao's invasion by a miraculous silver shower, believed to be the intervention of the god Captan. Despite the scientific explanation of phosphorus, the story of the Silver Shower endures, adding a layer of myth to the natural beauty of Manila Bay's nights.",narrator,none,datto bungtao,the defense of manila villages against datto bungtao's invasion and the miraculous saving of the people through the silver shower,4,Unity and faith can lead to miraculous salvation in the face of overwhelming adversity,Unity and faith in times of crisis,Invading and enslaving others
355,538,"Dschang Liang, a native of a state destroyed by Emperor Tsin Schi Huang, sought revenge for his fallen king by attempting to assassinate the emperor. However, his plan failed when he attacked a decoy carriage instead of the emperor's. Fleeing, he encountered an old man who, after testing Dschang Liang's patience over several days, gave him the Book of Hidden Complements, promising him the ability to rule a great emperor. Dschang Liang used the book's knowledge to aid the ancestor of the Han dynasty in conquering the empire, earning him the title of count. He then pursued a spiritual path, eventually leaving the emperor's service after a betrayal and seeking the old man at Gu Tschong Mountain. There, he gained hidden knowledge, feigned illness, and freed his soul from his body, disappearing. His tomb, when later opened, contained only a yellow stone, signifying his journey with Laotsze in the invisible world. His grandson, Dschang Dau Ling, later became the first Taoist pope, inheriting the secret power over demons and spirits, a legacy passed down through generations.",dschang liang,hero,tsin schi huang,revenge and spiritual enlightenment,4,Persistence in the face of adversity and dedication to a higher purpose can lead to profound transformation and enlightenment,Persistence and seeking higher knowledge,Seeking revenge
356,539,"In a village filled with greedy people, a prosperous yet honest goldsmith befriends a cowherd. Tired of the goldsmith's insistence on evening walks, the cowherd, advised by another, kills the goldsmith's wife to sever their friendship. The goldsmith, seeking retribution, deceives a rich stranger into believing he killed his wife, extracting a thousand gold pieces as compensation. When the villagers learn of the goldsmith's newfound wealth, they mistakenly believe he profited from selling his dead wife and attempt to do the same with their wives, only to fail. Realizing they've been duped, they attempt to kill the goldsmith by throwing him into a river. However, he survives, tricks the villagers into drowning themselves by promising riches underwater, and claims the village for himself. Despite his wealth, the goldsmith's deceitful victory leaves him unhappy, ultimately leading to his lonely and unmoored death from apoplexy, highlighting the hollow outcome of greed and deception.",goldsmith,villain,cowherd,greed and deception,1,Greed and deceit ultimately lead to one's downfall and do not bring true happiness,Honesty and integrity,Greed and deception
357,541,"In the parts of Lindsey, there lived a wise woman rumored to be a witch, known for her healing and advice, yet disliking fools. One day, a fool approached her, seeking wisdom to prove himself clever. The wise woman cryptically told him he'd only be wise once he acquired a ""coat o' clay."" Misinterpreting her words, the fool rolled in mud, thinking it made him wise. He then proposed to a girl, believing his newfound ""wisdom"" made him a suitable match. His mother, however, dismissed his claim to wisdom, pointing out his folly. The fool then accidentally covered himself in dust, mistaking it for the ""coat o' clay"" that would grant him wisdom. Encountering a squire and a landlord, he was ridiculed for his foolishness, especially after drinking heavily in an attempt to internalize his ""coat o' clay."" Unable to pay his tab, he was kicked out by the landlord. Returning to the wise woman, he learned that the true ""coat o' clay"" referred to a burial shroud, implying he'd only be wise in death. Resigned, the fool accepted his perpetual foolishness, acknowledging his mother's assessment of him.",fool,victim,none,the pursuit of wisdom,2,True wisdom cannot be superficially acquired or feigned it comes from understanding and accepting one's limitations and experiences,Accepting oneself,Feigning wisdom
358,542,"A boy, left alone in the world after his father's death, sells his inheritance for a violin, finding solace in its music. Unable to find work as a shepherd, he plays his violin in the forest, enchanting the local wildlife and leading them into a joyful dance. This unusual procession, including sheep, a cat, monkeys, and even predators like tigers, eventually attracts the attention of the king of the land of giants, whose daughter has never laughed. The sight of the boy and his dancing entourage amuses her so much that she laughs for the first time, fulfilling the king's wish. Overjoyed, the king grants the boy half of his kingdom, where the boy rules effectively, commanding respect from all, including the giants, with his violin. The animals that followed him into the land of the giants grow to giant size, while the boy and his violin remain unchanged.",boy,hero,none,the power of music,5,"Music has the power to bring joy, unite diverse beings, and transform lives in unexpected ways",Finding joy in one's passion,None
359,543,"In the story, Mrs. Howard, a widow and mother of two boys plus an adopted nephew, receives a letter from Grandmamma Howard, who expresses her intention to adopt one of the boys upon her return to England. The boys, unaware of their grandmother's plan and having never met her, continue with their lives, particularly enjoying skating. One day, while heading to skate, they encounter an old woman who turns out to be Grandmamma Howard in disguise, though they don't recognize her. Leslie, one of the boys, shows kindness to her despite his cousins' reluctance, helping her with her parcels and later assisting her when she pretends to have sprained her ankle, even missing a skating competition to do so. This act of kindness leads to the revelation of the old woman's true identity. Grandmamma Howard chooses Leslie as the boy she wishes to adopt, impressed by his character. The story concludes with the boys learning the value of kindness and consideration, with Grandmamma Howard providing a loving and understanding home for all of them, encouraging them to always help others in need.",leslie,hero,none,kindness and familial bonds,5,"Acts of kindness and selflessness are rewarded, and it's never too late to mend one's ways and show compassion towards others",Kindness,Selfishness
360,544,"The story explores the origins and transformations of Santa Klaas, a figure deeply rooted in various cultural traditions and known by many names across different countries. Initially called Nicholas, a kind bishop with a penchant for secret gift-giving, his legend grew through miraculous tales, such as reviving pickled children and providing dowries for impoverished maidens, symbolized by the three bags of gold that inspired pawnbrokers' signs. His evolution into Santa Klaas saw him adopting local customs, from arriving in the Netherlands by steamship to adapting his attire for the icy north. Santa Klaas's generosity extended universally, tailoring gifts to the children's needs and circumstances across the globe, and even finding a faithful helper, Black Pete, in New Netherland (America), where he also discovered new goods to share. Despite the whimsical nature of these tales, the story underscores Santa Klaas's enduring spirit of giving and kindness, transcending cultural and geographical boundaries, and his ability to bring joy and hope to children and communities worldwide.",santa klaas,hero,none,the origins and traditions of santa klaas,5,Acts of kindness and generosity transcend cultural boundaries and have the power to bring joy and hope to people's lives,Generosity,None
361,545,"In a realm ruled by a queen who adored roses, a dire prophecy was made: only the world's loveliest rose, embodying the purest and brightest love, could save her from death. People from all corners brought roses of every kind, but none sufficed. The quest for this rose spanned across poets, lovers, and scholars, each proposing a rose they deemed the loveliest, from tales of tragic love to heroic sacrifices and the pursuit of knowledge. Yet, the true essence of the loveliest rose eluded them. It was not found in the innocence of a child's love, the grief-stricken vigil of a mother for her sick child, nor the devout prayers of a young maiden. The revelation came through the queen's son, who read from the Bible about the ultimate sacrifice of love—Jesus Christ's crucifixion. As he read, a miraculous transformation occurred; the queen saw the spiritual rose bloom from the scripture, symbolizing the supreme act of love. This divine vision promised her eternal life, illustrating that the loveliest rose in the world is the one that springs from selfless love and sacrifice.",queen,victim,none,"the quest for the loveliest rose, symbolizing the purest form of love",5,"The greatest and most redemptive form of love is selfless sacrifice, symbolized by the ultimate act of love—jesus christ's crucifixion",Selfless love and sacrifice,None
362,546,"In this story, a count in Switzerland, disappointed by his only son's apparent stupidity, sends him to learn from various masters, only for the son to return each time with the peculiar ability to understand the language of animals, such as dogs, birds, and frogs, rather than any practical skill. Frustrated and ashamed, the father orders his son to be killed, but the executioners spare him, faking his death. The son then wanders until he finds a castle plagued by wild, barking dogs guarding a treasure in a tower. Using his unique ability to communicate with the dogs, he learns how to lift the curse and retrieves the treasure, thus freeing the land from the menace and earning the lord's favor. Later, while traveling to Rome, he interprets the croaking of frogs, which premonitions his becoming the Pope. In Rome, following the Pope's death and amidst uncertainty about choosing a successor, miraculous doves land on him, signaling divine favor. Despite his initial hesitation and lack of knowledge in conducting a mass, the doves guide him, fulfilling the prophecy heard from the frogs and leading him to become the Pope, demonstrating that his unique abilities, initially deemed useless, were indeed of great value.",youth,"hero, victim",none,misunderstood abilities,4,Seemingly useless talents or knowledge can have great value in unexpected circumstances,Valuing unique abilities,Dismissing unconventional talents
363,547,"In the story, a clay bank on Little Neck, Long Island, is known for its metallic nodules, believed by locals to be cursed silver. A century ago, the Montauks mined these nodules, trading them for goods. Gardiner, a local, learns of this treasure through a drunken Indian chief who reveals the source. Overcome by greed, Gardiner kills the chief to keep the treasure to himself and manages to collect a half ton of the silver. However, after the murder, he is haunted by the ghost of the chief, who curses the treasure. When Gardiner checks his loot the next morning, he finds it has turned into a heap of gray dust, with mineralogists later identifying the nodules as iron pyrites. Despite this explanation, old residents maintain the nodules were once silver, hinting at the supernatural transformation caused by the curse.",gardiner,villain,none,greed and its consequences,1,Greed and betrayal can lead to one's downfall and bring about unforeseen consequences,Greed,Greed
364,548,"In a tale of destiny and unintended consequences, a young king, lost in the forest during a hunting expedition, is foretold by a mysterious voice that a maiden born that night in a charcoal burner's hut is his destined fate. Despite his initial refusal to accept this fate, leading him to order his page to kill the newborn, the baby girl, later named Maria-of-the-forest, miraculously survives multiple attempts on her life. First, she is left in the forest by the page who cannot bring himself to kill her, then found and raised by a woodcutter and his wife. Later, the king tries to drown her, but she is saved by sailors and eventually brought up in a royal palace. Years later, during a royal wedding, the king, unknowingly attracted to Maria's beauty and grace, decides to marry her despite discovering her true identity, finally accepting that one cannot escape fate.",maria of the forest,victim,king,fate,2,"One cannot escape their fate, no matter how hard they try to avoid it",Accepting one's fate,Attempting to escape one's fate
365,549,"In a kingdom where a king deeply cherished a unique apple tree, his three daughters disappeared after eating its forbidden apples, plunging underground. In their quest to find them, three young huntsmen encountered a mysterious castle and a challenging ordeal involving a small, aggressive mannikin. The youngest huntsman, Hans, outsmarted the mannikin, learning the princesses' location deep within a well-guarded by dragons. Bravely, he rescued them, but was betrayed by his companions who left him underground, claiming the rescue for themselves to win the princesses' hands in marriage. Hans, however, escaped with the help of magical elves and exposed his brothers' deceit at the royal wedding, leading to their punishment and his own marriage to the youngest princess. The tale concludes with a whimsical note about glass shoes, adding a touch of fairy-tale whimsy to the story of courage, betrayal, and justice.",hans,hero,two older brothers,rescue and betrayal,4,"Bravery, honesty, and resourcefulness are rewarded, while deceit and betrayal ultimately lead to downfall",Honesty and bravery,Deceit and betrayal
366,552,"In a tale of cunning and unexpected assistance, two neighbors, one rich and the other poor, shared a meadow they were to mow and divide equally. The rich neighbor, desiring the meadow for himself, proposed a challenge where the one who mowed the most land in a day would claim the entire meadow. While the rich neighbor enlisted twenty farmhands, the poor neighbor, unable to hire help, was advised by a mysterious large man to call out ""Old Hopgiant"" three times for aid. Despite initial skepticism and mockery from the rich neighbor and his mowers, the poor man's call summoned a giant with a massive scythe, who quickly mowed half the meadow, terrifying the rich neighbor's mowers. In a futile attempt to stop the giant, the rich neighbor kicked him, only to find his feet stuck to the giant. Unperturbed, Old Hopgiant finished mowing the meadow and flew away with the rich neighbor attached, leaving the poor neighbor as the sole owner of the meadow.",poor neighbor,"hero, victim",rich neighbor,inequality and resourcefulness,4,"Cunning and unexpected help can overcome greed and power, leading to justice for the underprivileged",Resourcefulness in the face of adversity,Greed
367,553,"The story revolves around St. Peter and his two sisters, one of whom becomes a nun while the other chooses marriage and motherhood. After St. Peter becomes the Porter of Heaven, he is instructed by the Lord to prepare for the arrival of a very deserving soul, leading him to believe it is his nun sister. To his surprise, it is his married sister who is granted an exalted place in heaven. Later, when his nun sister arrives, she struggles to enter through a narrowly opened gate and receives a lower place in heaven. This turn of events leads St. Peter to realize that every profession has its merits and that anyone can enter heaven if they truly wish, challenging his initial assumptions about virtue and worthiness.",st peter,hero,none,judgment and redemption,4,"Every profession and way of life has its merits, and anyone can attain heaven through their own path and virtues",Valuing all paths of life,Judging others' paths to virtue
368,554,"In the story, Kitta Grau, a cunning old woman, makes a deal with the devil to sow discord between a happily married couple, promising success where the devil had failed. She deceives both the husband and wife into believing the other intends harm, leading to a violent confrontation that destroys their peace. As a reward, the devil, intimidated by Kitta's malice, gives her a pair of shoes from a safe distance. Later, Kitta encounters a merchant doomed by a pact with the devil to be claimed after seven prosperous years unless he fails to sell an acquired item within three weeks. Kitta cleverly offers herself as an unsellable purchase. The merchant disguises her as a bird in a glass cage, and when the devil comes to claim the merchant, he is thwarted by the unsold Kitta Grau, recognizing her and leaving in defeat. The story illustrates Kitta Grau's ability to wield influence for both evil and good, showcasing her cunning and resourcefulness.",kitta grau,villain,devil,deception and cunning,2,"Cunning and deceit can outwit even the most malevolent forces, but they can also lead to the destruction of trust and harmony",Cunning over malevolence,Sowing discord
369,555,"The story revolves around the Maiden of Unai, whose beauty was prophesied to be so great that it would cause the death of two mighty heroes and bring sorrow that would reach the heavens. To prevent this, her parents secluded her from the world, but her beauty became legendary, attracting numerous suitors, including two champions from Chinu and Unai. Despite their rivalry, the maiden, unwilling to choose between them and cause their death, leapt into a river, prompting both champions to dive in after her, leading to all three drowning. Their bodies were found together, fulfilling the prophecy of sorrow and mourning. They were buried together, with the maiden in the middle, guarded by the champions even in death, in a grave prepared with honors and rituals to ensure their readiness for adventures in the afterlife.",maiden of unai,victim,none,fate and its inevitability,1,Attempting to escape one's fate can lead to the very outcome one seeks to avoid,Accepting fate,Defying fate
370,556,"An old man living at the edge of a wood instructs his son to grind some corn but warns him against using a mill operated by a beardless man. Despite his efforts to avoid such mills, the boy encounters a beardless miller at every turn, as the miller cunningly races ahead to each new mill the boy approaches. Eventually, the boy resigns to grinding his corn at a mill run by the beardless man, who then suggests they bake a cake with the flour. After baking, they agree that the one who tells the biggest lie will win the entire cake. The beardless man tells many lies, but the boy recounts an outrageous tale involving adventures with bees, cocks, millet seed, and various impossible feats, concluding with a claim that convinces the beardless man of his defeat. The boy declares his story true, wins the cake based on the premise of telling the biggest lie, and returns home, leaving the beardless man to deal with his loss.",boy,hero,beardless man,cleverness and deception,4,Wit and cleverness can overcome deceit and challenges,Using wit to navigate challenges,Deceiving others
371,557,"In the ancient land of Trœzene, Princess Aithra, daughter of King Pittheus, lived with her son Theseus, the bravest lad in the land. Despite being forgotten by her husband, Aithra's joy was her son. When Theseus turned fifteen, Aithra revealed a secret to him, leading him to a hidden stone in a temple grove, under which lay a sword and sandals, but he was unable to lift the stone despite multiple attempts over the years. Determined, Theseus honed his strength through various physical challenges, becoming the swiftest hunter and a local hero. At eighteen, he finally lifted the stone, discovering the sword and sandals beneath it. Aithra then revealed that Theseus was to take these items to Ægeus, king of Athens, and claim his heritage. Despite his reluctance to leave his mother, Aithra encouraged him, hinting at a destiny that involved great sorrow but also great heroism. Theseus, inspired by the prospect of ruling Athens wisely and well, accepted his fate, leaving Aithra to face her own prophesied sorrows, including captivity and eventual liberation during the Trojan War, with resilience and acceptance of her destiny.",theseus,hero,none,destiny and heroism,4,Perseverance and courage in the face of challenges can lead one to discover their true identity and fulfill their destiny,Perseverance,Giving up
372,558,"In the story, a little girl begs her mother for some raw rice to eat while her mother is preparing supper. Despite her mother's refusal, explaining that raw rice isn't good for her, the girl persists. Eventually, the mother, losing patience, tells her to be quiet. After finishing her preparation and leaving to fetch water, the girl tries to sneak some rice but accidentally falls into the basket and is covered by it. Upon the mother's return, she hears a bird crying from the direction of the basket. When she checks, a little brown rice bird emerges and flies away, bidding her goodbye and lamenting that she wouldn't give it any rice to eat, implying that the girl has transformed into the bird.",mother,victim,none,consequences of disobedience,2,Disobedience and impatience can lead to unforeseen and regrettable consequences,Patience,Disobedience
373,559,"In a story set near the Indian village of Laguna, a cheerful little lizard living on a big sandstone rock teaches a fox her song after he hears her singing and desires to learn it. Despite the lizard's patient efforts, the fox keeps forgetting the song due to being startled first by a flock of ducks and then by a rabbit. Frustrated and unable to remember the song after multiple attempts, the fox threatens the lizard, demanding she sing it again. When she refuses, he swallows her whole. However, the clever lizard, equipped with a knife used for shedding her skin, cuts herself out of the fox, replaces herself with a sharp rock, and sews him back up before escaping. Later, the fox, feeling uncomfortable from the stone inside him, falls into a pond while trying to drink and drowns, illustrating a tale of wit overcoming greed and threat.",lizard,hero,fox,cunning and survival,4,Wit and resourcefulness can triumph over greed and threats,Resourcefulness,Greed
374,560,"The story recounts a tragic tale of love and conflict among the Seneca Indians, centered around the beautiful lakes of New York. Waneta, a chief's daughter, secretly pledged her love to Kayuta, a hunter from a rival tribe. Their secret meetings by the lake sparked jealousy in Weutha, who desired Waneta for himself. After spying on one of their trysts, Weutha's report led to Kayuta being pursued by warriors, though he narrowly escaped. Unaware of the danger, Waneta continued to meet Kayuta until a warning saved her from an ambush, but not from a fatal end. As Kayuta fought off attackers, Waneta, attempting to reach him, was swallowed by a quagmire. Discovering her fate, Kayuta was overcome with grief and died of a broken heart, joining Waneta in the afterlife. The discovery of a deer-skin with this story depicted on it revived the tale, highlighting the deep connection between the Senecas, their land, and their lakes.",kayuta,"hero, victim",weutha,forbidden love,1,"Love can transcend conflict and adversity, but it may also lead to tragic consequences when faced with insurmountable obstacles",Loyalty and bravery in love,Jealousy and betrayal
375,561,"A poor prince, desiring to marry the emperor's daughter, sends her unique gifts: a magical rose that blooms every five years with a scent that makes one forget all sorrows, and a nightingale whose song brings immense joy. Despite the initial enchantment, the princess dismisses the gifts for being too natural. The prince, undeterred, disguises himself as a swineherd and creates a saucepan that reveals what meals are being cooked in the city and a rattle that plays beautiful tunes. Intrigued, the princess trades kisses for these novelties. When the emperor discovers this, he expels both the princess and the swineherd. The swineherd reveals his true identity as the prince, rebukes the princess for her superficiality, and leaves her regretting her choices as he returns to his kingdom, closing the doors to her.",prince,hero,princess,superficiality vs genuine value,2,True value and worth should be appreciated over superficial appearances and materialistic desires,Valuing substance over superficiality,Disregarding genuine value for superficial attractions
376,563,"A little brother and sister, deeply fond of each other, suffer under their cruel stepmother who practices witchcraft. While playing with other children, they are bewitched by her, turning the brother into a fish and the sister into a lamb. The brother swims sadly in a pond, and the sister roams miserably in a meadow, unable to eat. When visitors arrive, the stepmother orders the cook to kill the lamb for a meal. As the cook prepares to slaughter the lamb, he notices the fish and hears their sad conversation, realizing they are bewitched. Terrified, he spares the lamb, substituting it with another sheep for the guests, and entrusts the lamb to a kind peasant woman, who had been the sister's foster mother. She, suspecting the lamb's true identity, seeks a wise woman's help. The wise woman blesses the siblings, restoring their human forms, and they live happily in seclusion in a forest hut, content despite their isolation.",little sister,victim,step mother,witchcraft and transformation,2,Kindness and compassion can overcome evil and restore harmony and happiness,Compassion overcomes adversity,Witchcraft
377,564,"Androcles, a slave, escapes his master and encounters a suffering lion in the forest, afflicted by a thorn in its paw. Androcles bravely removes the thorn, earning the lion's gratitude and friendship. The lion then provides for Androcles, bringing him food. However, fate leads both to be captured; Androcles is sentenced to face the now famished lion in an arena as punishment. To everyone's astonishment, upon release, the lion recognizes Androcles, showing affection instead of aggression. This unexpected turn of events prompts the Emperor to inquire about their unique bond. Moved by the story of mutual aid and loyalty, the Emperor grants freedom to both Androcles and the lion, highlighting the profound impact of kindness and the noble nature of gratitude.",androcles,hero,none,gratitude and friendship between species,5,Acts of kindness and compassion can forge unexpected bonds and lead to miraculous outcomes,Showing gratitude,None
378,565,"In this story, a hungry monkey and a turtle decide to plant banana plants to secure food for themselves. The monkey plants his in a tree, while the turtle plants his in the ground. The turtle's plant thrives, but the monkey's does not. When the bananas are ripe, the monkey selfishly eats all the good ones and falls asleep. The turtle, seeking revenge for the monkey's greed, tricks the monkey into falling onto sharp bamboo, killing him. The turtle then sells the monkey's meat to other monkeys in exchange for squash, taunting them with their cannibalism. When the monkeys discover the truth, they attempt to kill the turtle, but their plans backfire. They try to cut him, but his shell protects him; they then throw him into water, not realizing it's his natural habitat. The turtle tricks them into drowning themselves while trying to catch lobsters, teaching them a fatal lesson. This story explains why monkeys do not eat meat, remembering the grim fate of their ancestors.",turtle,"hero, villain",monkey,revenge,2,"Greed and betrayal can lead to dire consequences, and cunning and resourcefulness can serve as means of survival and justice",Sharing and fairness,Greed and betrayal
379,566,"In a tale of friendship and tragedy, a little hen and a little cock venture to a nut-hill, agreeing to share any nuts found. The hen discovers a large nut but selfishly decides to eat it alone, only to choke on the kernel. In desperation, she sends the cock to fetch water. The cock's quest for water involves a series of exchanges: he must get red silk from a bride, who demands her wreath from a willow in return. Despite the cock's diligent efforts to fulfill these tasks and save the hen, he returns too late, finding her dead. Overcome with grief, he arranges for a funeral procession with animals from the forest, including six mice who build a carriage but tragically die along with other animals in attempts to cross a stream. Ultimately, the cock, left alone, dies of sorrow on the hen's grave, leaving all characters dead in a poignant conclusion about the consequences of selfishness and the inevitability of fate.",little cock,"hero, victim",none,consequences of selfishness,1,Selfishness and failure to help one another can lead to tragic outcomes for everyone involved,Sharing and cooperation,Selfishness
380,567,"A Stag, seeking refuge from hounds, hides in a farmyard stable under a pile of hay, with only his horn tips visible. Despite the warnings from an Ox about the risk of being discovered by the herdsmen, the Stag decides to stay until nightfall, believing he can then escape unnoticed. Throughout the afternoon, farm-hands enter the stable but fail to notice the Stag, who feels increasingly confident about his safety and thanks the Oxen for their hospitality. However, the Ox warns that the master's keen eyes miss nothing. Eventually, the master arrives, complains about the Oxen's conditions, and while redistributing the hay, discovers the Stag. He immediately orders his men to capture and kill the Stag for food, proving the Ox's warning about the danger of being discovered.",stag,victim,master,consequences of seeking refuge in dangerous places,1,Seeking temporary safety can lead to permanent danger if one is not cautious about the risks involved,Vigilance,Complacency
381,568,"The story reflects on the historical mistrust and misunderstanding between white settlers and Native Americans, attributing it to the early negative interactions with outlaws and the subsequent lies told by the United States government. It portrays the Indian as a charitable and open-minded individual, in contrast to the deceitful and aggressive behavior of the white settlers. The narrative then transitions into a Native American tale told by War Eagle during a snowstorm, about OLD-man (a deity or cultural hero) who, in a fit of anger caused by the unbearable heat, commands the wind to blow hard enough to break the trees. While the Fir, Pine, and Spruce trees all break under the force, the Birch tree refuses to break, only bending. In his rage, OLD-man slashes the Birch tree's bark with his knife, decreeing that all Birch trees will bear these marks forever as a punishment for not obeying him. This story within a story serves to illustrate the values of resilience and integrity, symbolized by the Birch tree's refusal to break, and offers a glimpse into the cultural narratives and beliefs of the Native American characters.",old man,hero,none,misunderstanding and resilience,3,Resilience and the ability to withstand adversity without breaking are virtues that are respected and remembered,Resilience in the face of adversity,Disobedience and anger
382,569,"In the vicinity of Dartmoor, an old woman lived near a pixy field and maintained a beautiful garden, particularly admired for its tulips by the local pixies. These magical beings would bring their infants to the garden, singing them to sleep with melodies that seemed to emanate from the tulips themselves. The flowers, under the pixies' enchantment, retained their beauty longer and became unusually fragrant. The old woman, delighted by the pixies' presence, never allowed the tulips to be picked. However, after her death, her heir destroyed the tulip bed, replacing it with a parsley bed, which angered the pixies, leading them to curse the garden so that nothing would grow there for many years. Despite their vengeful act towards the heir, the pixies mourned the old woman, tenderly caring for her grave, ensuring it remained green and flowered without any human intervention, a tribute that continued until her body returned to dust.",old woman,hero,heir,"the relationship between humans and nature, and the consequences of disrupting harmony",2,"Respecting and preserving nature brings joy and harmony, while disregarding its importance can lead to loss and desolation",Respecting nature,Disregarding nature
383,570,"Wayambeh the turtle and her husband Gougourgahgah, the laughing jackass, quarreled over where Wayambeh should lay her eggs. Gougourgahgah suggested a hollow tree to avoid flood risk, but Wayambeh insisted on following her tribe's tradition of laying eggs in the sand by the creek. She left for her tribe, refusing to return despite Gougourgahgah's attempts to bring her back, mediated through their servants Wonga the pigeon and Dumerh. An old lover of Wayambeh, Ouyouboolooey the black snake, attempted to attack Wonga but was killed by Gougourgahgah, who then vowed eternal enmity against Ouyouboolooey's tribe. Meanwhile, Wayambeh, frightened by Gougourgahgah's laughter, which she mistook for madness, fled and eventually laid her eggs in the sand as intended. A brush turkey named Woggoon, intrigued by Wayambeh's method, decided to try a similar approach by building a mound for her eggs instead of sitting on them. This method proved successful, leading the Woggoons to adopt it and become known as Mound Builders.",wayambeh,victim,gougourgahgah,cultural and marital conflict,2,The importance of respecting and adhering to one's cultural traditions and the challenges that arise when trying to reconcile differing beliefs within relationships,Respecting cultural traditions,Forcing others to abandon their traditions
384,575,"In a fantastical tale, a wrestler from a distant land, carrying ten thousand pounds of flour, sets off to challenge a renowned Indian wrestler. Along his journey, he encounters and effortlessly overcomes an enraged elephant by turning the creature's attack into a playful challenge, eventually tossing it over the wall of his intended opponent's home as a message. The Indian wrestler's family, displaying their own extraordinary strength, casually dismiss the elephant, setting the stage for an epic confrontation. The two wrestlers, finding themselves evenly matched in a tug-of-war with carts, agree to a wrestling match on the palm of a passing old woman, who is on her own quest to prevent her daughter from stealing camels. This daughter, possessing her own incredible might, captures not only the camels but also entire towns and landscapes in her blanket, eventually resting atop a watermelon. A flood sweeps the watermelon away, releasing its contents on a mud-bank and creating a new world. This story weaves together elements of absurdity, humor, and the fantastical, showcasing characters of exaggerated strength and abilities in a series of increasingly outlandish adventures.",wrestler,hero,none,strength and adventure,4,"Extraordinary challenges and encounters can lead to unexpected and fantastical adventures, showcasing the value of courage, strength, and wit",Embracing challenges,Disrupting natural resources
